input,seed,cores,vertices,edges,time,trials,concurrency,result
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,1377,1,96000,1535744,3048.25,16179,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,1377,36,96000,1535744,142.8,450,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,1377,72,96000,1535744,71.9081,225,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,1377,108,96000,1535744,48.0195,150,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,1377,144,96000,1535744,36.3638,113,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,1377,288,96000,1535744,18.469,57,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,1377,432,96000,1535744,12.5122,38,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,11415,36,96000,1535744,144.036,450,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,11415,72,96000,1535744,72.0369,225,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,11415,108,96000,1535744,48.147,150,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,11415,144,96000,1535744,36.4176,113,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,11415,288,96000,1535744,18.5175,57,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,11415,432,96000,1535744,12.4783,38,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,11415,576,96000,1535744,9.59419,29,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,11415,720,96000,1535744,7.66296,23,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,11415,864,96000,1535744,6.38508,19,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,11415,1008,96000,1535744,5.76093,17,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,11415,1152,96000,1535744,5.09344,15,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,11415,1296,96000,1535744,4.48622,13,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,15488,1,96000,1535744,3044.9,16179,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,15488,36,96000,1535744,143.28,450,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,15488,72,96000,1535744,71.9154,225,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,15488,108,96000,1535744,47.9814,150,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,15488,144,96000,1535744,36.3223,113,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,15488,288,96000,1535744,18.6107,57,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,15488,432,96000,1535744,12.4132,38,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,15488,576,96000,1535744,9.60742,29,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,15488,720,96000,1535744,7.69006,23,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,15488,864,96000,1535744,6.42792,19,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,15488,1008,96000,1535744,5.79082,17,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,15488,1152,96000,1535744,5.11015,15,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,15488,1296,96000,1535744,4.47365,13,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,16928,1,96000,1535744,3067.87,16179,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,16928,36,96000,1535744,143.852,450,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,16928,72,96000,1535744,71.9625,225,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,16928,108,96000,1535744,48.0493,150,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,16928,144,96000,1535744,41.5496,113,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,16928,288,96000,1535744,18.4357,57,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,16928,432,96000,1535744,12.4803,38,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,16928,576,96000,1535744,9.60007,29,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,16928,720,96000,1535744,7.65267,23,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,16928,864,96000,1535744,6.3663,19,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,16928,1008,96000,1535744,5.81138,17,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,16928,1152,96000,1535744,5.11456,15,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,16928,1296,96000,1535744,4.47472,13,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,21252,1,96000,1535744,3047.05,16179,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,21252,36,96000,1535744,142.436,450,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,21252,72,96000,1535744,71.9387,225,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,21252,108,96000,1535744,47.9894,150,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,21252,144,96000,1535744,36.5546,113,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,21252,288,96000,1535744,18.4982,57,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,21252,432,96000,1535744,12.4902,38,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,21252,576,96000,1535744,9.58784,29,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,21252,720,96000,1535744,7.67814,23,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,21252,864,96000,1535744,6.47421,19,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,21252,1008,96000,1535744,11.973,17,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,21252,1152,96000,1535744,5.10247,15,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,21252,1296,96000,1535744,4.4509,13,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,23428,1,96000,1535744,3072.52,16179,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,23428,36,96000,1535744,142.319,450,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,23428,72,96000,1535744,72.2248,225,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,23428,108,96000,1535744,48.1109,150,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,23428,144,96000,1535744,36.4726,113,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,23428,288,96000,1535744,18.4882,57,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,23428,432,96000,1535744,12.4553,38,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,23428,576,96000,1535744,9.5719,29,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,23428,720,96000,1535744,7.69275,23,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,23428,864,96000,1535744,6.42478,19,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,23428,1008,96000,1535744,5.80469,17,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,23428,1152,96000,1535744,5.0987,15,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,23428,1296,96000,1535744,4.48151,13,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,25645,1,96000,1535744,3068.6,16179,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,25645,36,96000,1535744,143.2,450,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,25645,72,96000,1535744,72.0515,225,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,25645,108,96000,1535744,48.0318,150,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,25645,144,96000,1535744,36.4385,113,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,25645,288,96000,1535744,18.5989,57,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,25645,432,96000,1535744,12.5673,38,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,25645,576,96000,1535744,9.6507,29,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,25645,720,96000,1535744,7.70426,23,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,25645,864,96000,1535744,6.44261,19,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,25645,1008,96000,1535744,5.76819,17,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,25645,1152,96000,1535744,5.19385,15,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,25645,1296,96000,1535744,4.47952,13,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,28327,1,96000,1535744,3053.72,16179,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,28327,36,96000,1535744,142.916,450,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,28327,72,96000,1535744,72.4703,225,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,28327,108,96000,1535744,48.0059,150,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,28327,144,96000,1535744,36.6338,113,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,28327,288,96000,1535744,18.5364,57,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,28327,432,96000,1535744,12.4564,38,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,28327,576,96000,1535744,9.5871,29,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,28327,720,96000,1535744,7.68517,23,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,28327,864,96000,1535744,6.4227,19,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,28327,1008,96000,1535744,5.77214,17,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,28327,1152,96000,1535744,5.13014,15,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ba_96k_16.in,28327,1296,96000,1535744,4.47333,13,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/reg_96k_16.in,1377,1,96000,1536000,3421.06,16176,low,3200
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/reg_96k_16.in,1377,36,96000,1536000,153.796,450,low,3200
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/reg_96k_16.in,1377,72,96000,1536000,77.4593,225,low,3200
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/reg_96k_16.in,1377,108,96000,1536000,51.6643,150,low,3200
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/reg_96k_16.in,1377,288,96000,1536000,19.9403,57,low,3200
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/reg_96k_16.in,1377,432,96000,1536000,13.4117,38,low,3200
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/reg_96k_16.in,11415,36,96000,1536000,154.769,450,low,3200
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/reg_96k_16.in,11415,72,96000,1536000,77.3817,225,low,3200
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/reg_96k_16.in,11415,108,96000,1536000,51.8796,150,low,3200
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/reg_96k_16.in,11415,144,96000,1536000,39.0962,113,low,3200
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/reg_96k_16.in,11415,288,96000,1536000,19.8747,57,low,3200
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/reg_96k_16.in,11415,432,96000,1536000,13.3421,38,low,3200
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/reg_96k_16.in,11415,576,96000,1536000,10.3005,29,low,3200
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/reg_96k_16.in,11415,720,96000,1536000,8.22373,23,low,3200
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/reg_96k_16.in,11415,864,96000,1536000,6.87671,19,low,3200
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/reg_96k_16.in,11415,1008,96000,1536000,6.2189,17,low,3200
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/reg_96k_16.in,11415,1152,96000,1536000,5.49865,15,low,3200
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/reg_96k_16.in,11415,1296,96000,1536000,4.79293,13,low,3200
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/reg_96k_16.in,15488,1,96000,1536000,3428.75,16176,low,3200
