input,seed,cores,vertices,edges,time,trials,concurrency,result
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,639,2,96000,1536000,1460.99,8088,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,639,4,96000,1536000,788.56,4044,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,639,8,96000,1536000,463.141,2022,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,639,16,96000,1536000,279.819,1011,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,1603,2,96000,1536000,1467.33,8088,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,1603,4,96000,1536000,794.261,4044,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,1603,8,96000,1536000,465.608,2022,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,1603,16,96000,1536000,279.462,1011,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,3304,2,96000,1536000,1462.67,8088,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,3304,4,96000,1536000,797.025,4044,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,3304,8,96000,1536000,463.187,2022,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,3304,16,96000,1536000,277.805,1011,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,4280,2,96000,1536000,1453.16,8088,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,4280,4,96000,1536000,788.463,4044,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,4280,8,96000,1536000,464.543,2022,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,4280,16,96000,1536000,278.501,1011,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,4465,2,96000,1536000,1462.39,8088,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,4465,4,96000,1536000,790.056,4044,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,4465,8,96000,1536000,462.814,2022,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,4465,16,96000,1536000,277.746,1011,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,5038,2,96000,1536000,1453.48,8088,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,5038,4,96000,1536000,790.456,4044,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,5038,8,96000,1536000,461.443,2022,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,5038,16,96000,1536000,278.257,1011,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,13133,2,96000,1536000,1458.92,8088,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,13133,4,96000,1536000,787.177,4044,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,13133,8,96000,1536000,462.504,2022,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,13133,16,96000,1536000,278.126,1011,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,17037,2,96000,1536000,1461.89,8088,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,17037,4,96000,1536000,790.593,4044,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,17037,8,96000,1536000,462.844,2022,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,17037,16,96000,1536000,277.708,1011,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,22198,2,96000,1536000,1456.26,8088,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,22198,4,96000,1536000,791.04,4044,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,22198,8,96000,1536000,463.528,2022,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,22198,16,96000,1536000,279.044,1011,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,25819,2,96000,1536000,1460.79,8088,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,25819,4,96000,1536000,787.977,4044,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,25819,8,96000,1536000,466.814,2022,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,25819,16,96000,1536000,277.582,1011,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,26447,2,96000,1536000,1457.62,8088,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,26447,4,96000,1536000,793.976,4044,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,26447,8,96000,1536000,462.231,2022,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,26447,16,96000,1536000,278.484,1011,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,27077,2,96000,1536000,1450.31,8088,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,27077,4,96000,1536000,787.951,4044,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,27077,8,96000,1536000,462.59,2022,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,27077,16,96000,1536000,278.34,1011,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,29331,2,96000,1536000,1448.51,8088,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,29331,4,96000,1536000,789.255,4044,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,29331,8,96000,1536000,462.511,2022,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,29331,16,96000,1536000,277.129,1011,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,32077,2,96000,1536000,1453.92,8088,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,32077,4,96000,1536000,790.655,4044,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,32077,8,96000,1536000,462.099,2022,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e1/96k/ws_96k_16.in,32077,16,96000,1536000,279.691,1011,low,2100
