input,seed,cores,vertices,edges,time,trials,concurrency,result
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,193,72,16000,7929856,11.993,2,low,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,193,144,16000,7929856,6.65929,1,low,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,193,216,16000,7929856,6.14222,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,193,252,16000,7929856,6.20043,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,193,288,16000,7929856,5.80886,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,193,360,16000,7929856,5.7653,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,193,396,16000,7929856,6.16387,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,193,432,16000,7929856,5.51265,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,193,504,16000,7929856,5.81454,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,193,576,16000,7929856,5.31361,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,193,648,16000,7929856,5.33168,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,272,72,16000,7929856,12.1296,2,low,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,272,144,16000,7929856,6.84775,1,low,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,272,216,16000,7929856,5.83851,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,272,252,16000,7929856,6.42057,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,272,288,16000,7929856,6.18753,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,272,360,16000,7929856,5.80942,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,272,396,16000,7929856,6.71382,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,272,432,16000,7929856,5.19911,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,272,504,16000,7929856,5.6792,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,272,576,16000,7929856,5.30851,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,272,648,16000,7929856,5.42129,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,2402,72,16000,7929856,12.0458,2,low,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,2402,144,16000,7929856,6.63649,1,low,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,2402,216,16000,7929856,5.6453,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,2402,252,16000,7929856,6.12562,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,2402,288,16000,7929856,5.80545,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,2402,360,16000,7929856,6.1184,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,2402,396,16000,7929856,6.35484,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,2402,432,16000,7929856,5.4118,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,2402,504,16000,7929856,5.78749,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,2402,576,16000,7929856,5.26341,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,2402,648,16000,7929856,5.54294,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,3328,72,16000,7929856,11.9421,2,low,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,3328,144,16000,7929856,6.72363,1,low,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,3328,216,16000,7929856,6.112,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,3328,252,16000,7929856,5.81892,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,3328,288,16000,7929856,6.57961,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,3328,360,16000,7929856,6.81194,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,3328,396,16000,7929856,6.18577,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,3328,432,16000,7929856,5.55701,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,3328,504,16000,7929856,5.71595,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,3328,576,16000,7929856,5.40931,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,4437,72,16000,7929856,11.9424,2,low,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,4437,144,16000,7929856,6.82126,1,low,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,4437,216,16000,7929856,6.09033,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,4437,252,16000,7929856,5.7561,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,4437,288,16000,7929856,5.85082,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,4437,360,16000,7929856,6.03579,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,4437,396,16000,7929856,7.67547,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,4437,432,16000,7929856,5.39045,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,4437,504,16000,7929856,5.34851,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,4437,576,16000,7929856,7.08751,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,4437,648,16000,7929856,6.06606,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,8762,72,16000,7929856,12.0418,2,low,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,8762,144,16000,7929856,6.63664,1,low,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,8762,216,16000,7929856,5.75569,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,8762,252,16000,7929856,5.93656,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,8762,288,16000,7929856,5.70224,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,8762,360,16000,7929856,6.03187,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,8762,396,16000,7929856,6.09605,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,8762,432,16000,7929856,5.9762,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,8762,504,16000,7929856,5.66641,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,8762,576,16000,7929856,5.41506,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,8762,648,16000,7929856,6.26884,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,13132,72,16000,7929856,12.0416,2,low,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,13132,144,16000,7929856,6.71533,1,low,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,13132,216,16000,7929856,5.93519,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,13132,252,16000,7929856,5.98192,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,13132,288,16000,7929856,5.9377,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,13132,360,16000,7929856,5.89064,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,13132,396,16000,7929856,6.23052,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,13132,432,16000,7929856,5.34983,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,13132,504,16000,7929856,6.14717,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,13132,576,16000,7929856,5.57262,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,13132,648,16000,7929856,5.62435,1,high,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,18253,72,16000,7929856,11.8259,2,low,51200
