input,seed,cores,vertices,edges,time,trials,concurrency,result
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,19583,1,16000,7929856,343.177,?,co-karger-stein,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,19584,1,16000,7929856,328.976,?,co-karger-stein,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,19585,1,16000,7929856,326.907,?,co-karger-stein,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,19586,1,16000,7929856,340.202,?,co-karger-stein,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,19587,1,16000,7929856,332.469,?,co-karger-stein,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ba_16k_8M.in,19588,1,16000,7929856,335.046,?,co-karger-stein,51200
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ws_16k_8M.in,19583,1,16000,8192000,243.945,?,co-karger-stein,96100
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ws_16k_8M.in,19584,1,16000,8192000,237.871,?,co-karger-stein,96100
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ws_16k_8M.in,19585,1,16000,8192000,214.147,?,co-karger-stein,96100
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ws_16k_8M.in,19586,1,16000,8192000,250.04,?,co-karger-stein,96100
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ws_16k_8M.in,19587,1,16000,8192000,216.71,?,co-karger-stein,96100
/scratch/daint/kalvodap/evaluation_inputs/e3/8M/ws_16k_8M.in,19588,1,16000,8192000,241.54,?,co-karger-stein,96100
/scratch/daint/kalvodap/evaluation_inputs/e3/16M/ba_16k_16M.in,2092,1,16000,15335424,76.6559,?,co-karger-stein,102400
/scratch/daint/kalvodap/evaluation_inputs/e3/16M/ba_16k_16M.in,2093,1,16000,15335424,72.1867,?,co-karger-stein,102400
/scratch/daint/kalvodap/evaluation_inputs/e3/16M/ba_16k_16M.in,2094,1,16000,15335424,69.7637,?,co-karger-stein,102400
/scratch/daint/kalvodap/evaluation_inputs/e3/16M/ba_16k_16M.in,2095,1,16000,15335424,72.7828,?,co-karger-stein,102400
