input,seed,cores,vertices,edges,time,trials,concurrency,result
/scratch/daint/kalvodap/evaluation_inputs/e4/rmat_16k_256.in,3514,144,16000,4096000,1.67644,2,low,1
/scratch/daint/kalvodap/evaluation_inputs/e4/rmat_16k_256.in,3514,288,16000,4096000,1.10633,1,low,1
/scratch/daint/kalvodap/evaluation_inputs/e4/rmat_16k_256.in,3514,432,16000,4096000,3.16781,1,high,1
/scratch/daint/kalvodap/evaluation_inputs/e4/rmat_16k_256.in,3514,576,16000,4096000,3.15545,1,high,1
/scratch/daint/kalvodap/evaluation_inputs/e4/rmat_16k_256.in,3514,720,16000,4096000,3.17688,1,high,1
/scratch/daint/kalvodap/evaluation_inputs/e4/rmat_16k_256.in,3514,864,16000,4096000,2.68355,1,high,1
/scratch/daint/kalvodap/evaluation_inputs/e4/rmat_16k_256.in,3514,1008,16000,4096000,2.72777,1,high,1
/scratch/daint/kalvodap/evaluation_inputs/e4/rmat_16k_256.in,3514,1152,16000,4096000,2.45038,1,high,1
/scratch/daint/kalvodap/evaluation_inputs/e4/rmat_16k_256.in,3514,1296,16000,4096000,2.65531,1,high,1
/scratch/daint/kalvodap/evaluation_inputs/e4/rmat_16k_1024.in,3514,144,16000,16384000,11.2915,1,high,6
/scratch/daint/kalvodap/evaluation_inputs/e4/rmat_16k_1024.in,3514,288,16000,16384000,10.1497,1,high,6
/scratch/daint/kalvodap/evaluation_inputs/e4/rmat_16k_1024.in,3514,432,16000,16384000,10.6041,1,high,6
/scratch/daint/kalvodap/evaluation_inputs/e4/rmat_16k_1024.in,3514,576,16000,16384000,8.33188,1,high,6
/scratch/daint/kalvodap/evaluation_inputs/e4/rmat_16k_1024.in,3514,720,16000,16384000,8.33196,1,high,6
/scratch/daint/kalvodap/evaluation_inputs/e4/rmat_16k_1024.in,3514,864,16000,16384000,7.87404,1,high,6
/scratch/daint/kalvodap/evaluation_inputs/e4/rmat_16k_1024.in,3514,1008,16000,16384000,5.41441,1,high,6
/scratch/daint/kalvodap/evaluation_inputs/e4/rmat_16k_1024.in,3514,1152,16000,16384000,5.32074,1,high,6
/scratch/daint/kalvodap/evaluation_inputs/e4/rmat_16k_1024.in,3514,1296,16000,16384000,5.58241,1,high,6
/scratch/daint/kalvodap/evaluation_inputs/e4/rmat_16k_2048.in,3514,144,16000,32768000,22.3495,1,high,19
/scratch/daint/kalvodap/evaluation_inputs/e4/rmat_16k_2048.in,3514,288,16000,32768000,16.4924,1,high,19
/scratch/daint/kalvodap/evaluation_inputs/e4/rmat_16k_2048.in,3514,432,16000,32768000,15.6382,1,high,19
/scratch/daint/kalvodap/evaluation_inputs/e4/rmat_16k_2048.in,3514,576,16000,32768000,11.4421,1,high,19
/scratch/daint/kalvodap/evaluation_inputs/e4/rmat_16k_2048.in,3514,720,16000,32768000,11.4192,1,high,19
/scratch/daint/kalvodap/evaluation_inputs/e4/rmat_16k_2048.in,3514,864,16000,32768000,13.3891,1,high,19
/scratch/daint/kalvodap/evaluation_inputs/e4/rmat_16k_2048.in,3514,1008,16000,32768000,9.81358,1,high,19
/scratch/daint/kalvodap/evaluation_inputs/e4/rmat_16k_2048.in,3514,1152,16000,32768000,8.33443,1,high,19
/scratch/daint/kalvodap/evaluation_inputs/e4/rmat_16k_2048.in,3514,1296,16000,32768000,8.32234,1,high,19
