input,seed,cores,vertices,edges,time,trials,concurrency,result
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_32k_16.in,5907,144,32000,512000,3.59137,35,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_32k_16.in,10316,144,32000,512000,3.51355,35,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_32k_16.in,11576,144,32000,512000,3.47555,35,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_32k_16.in,14302,144,32000,512000,3.52538,35,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_32k_16.in,15067,144,32000,512000,3.55772,35,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_32k_16.in,19038,144,32000,512000,3.51177,35,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_32k_16.in,19305,144,32000,512000,3.53887,35,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_32k_16.in,19503,144,32000,512000,3.52475,35,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_32k_16.in,19620,144,32000,512000,3.55508,35,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_32k_16.in,21437,144,32000,512000,3.57099,35,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_32k_16.in,22754,144,32000,512000,3.56201,35,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_32k_16.in,31343,144,32000,512000,3.49917,35,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_32k_16.in,32555,144,32000,512000,3.54479,35,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_48k_16.in,5907,216,48000,768000,5.07147,35,low,2000
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_48k_16.in,10316,216,48000,768000,5.06379,35,low,2000
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_48k_16.in,11576,216,48000,768000,5.05546,35,low,2000
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_48k_16.in,14302,216,48000,768000,5.0535,35,low,2000
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_48k_16.in,15067,216,48000,768000,5.07095,35,low,2000
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_48k_16.in,19038,216,48000,768000,5.1617,35,low,2000
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_48k_16.in,19305,216,48000,768000,5.09169,35,low,2000
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_48k_16.in,19503,216,48000,768000,5.11167,35,low,2000
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_48k_16.in,19620,216,48000,768000,5.0821,35,low,2000
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_48k_16.in,21437,216,48000,768000,5.13522,35,low,2000
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_48k_16.in,22754,216,48000,768000,5.09537,35,low,2000
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_48k_16.in,31343,216,48000,768000,5.09609,35,low,2000
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_48k_16.in,32555,216,48000,768000,5.11965,35,low,2000
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_64k_16.in,5907,288,64000,1024000,7.71344,38,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_64k_16.in,10316,288,64000,1024000,7.65815,38,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_64k_16.in,11576,288,64000,1024000,7.68072,38,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_64k_16.in,14302,288,64000,1024000,7.78939,38,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_64k_16.in,15067,288,64000,1024000,7.66932,38,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_64k_16.in,19038,288,64000,1024000,7.7349,38,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_64k_16.in,19305,288,64000,1024000,7.70253,38,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_64k_16.in,19503,288,64000,1024000,7.68889,38,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_64k_16.in,19620,288,64000,1024000,7.68061,38,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_64k_16.in,21437,288,64000,1024000,7.6791,38,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_64k_16.in,22754,288,64000,1024000,7.66351,38,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_64k_16.in,31343,288,64000,1024000,7.74471,38,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_64k_16.in,32555,288,64000,1024000,7.69495,38,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_80k_16.in,5907,360,80000,1280000,9.59929,38,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_80k_16.in,10316,360,80000,1280000,9.59753,38,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_80k_16.in,11576,360,80000,1280000,9.54548,38,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_80k_16.in,14302,360,80000,1280000,9.6146,38,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_80k_16.in,15067,360,80000,1280000,9.59778,38,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_80k_16.in,19038,360,80000,1280000,9.6311,38,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_80k_16.in,19305,360,80000,1280000,9.60749,38,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_80k_16.in,19503,360,80000,1280000,9.5856,38,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_80k_16.in,19620,360,80000,1280000,9.59258,38,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_80k_16.in,21437,360,80000,1280000,9.63572,38,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_80k_16.in,22754,360,80000,1280000,9.57181,38,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_80k_16.in,31343,360,80000,1280000,9.63746,38,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_80k_16.in,32555,360,80000,1280000,9.60784,38,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_96k_16.in,5907,432,96000,1536000,11.557,38,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_96k_16.in,10316,432,96000,1536000,11.4997,38,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_96k_16.in,11576,432,96000,1536000,11.5469,38,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_96k_16.in,14302,432,96000,1536000,11.5211,38,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_96k_16.in,15067,432,96000,1536000,11.5146,38,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_96k_16.in,19038,432,96000,1536000,11.5518,38,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_96k_16.in,19305,432,96000,1536000,11.4782,38,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_96k_16.in,19503,432,96000,1536000,11.5122,38,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_96k_16.in,19620,432,96000,1536000,11.5061,38,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_96k_16.in,21437,432,96000,1536000,11.5088,38,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_96k_16.in,22754,432,96000,1536000,11.536,38,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_96k_16.in,31343,432,96000,1536000,11.5301,38,low,2100
/scratch/daint/kalvodap/evaluation_inputs/e6/ws_96k_16.in,32555,432,96000,1536000,11.5061,38,low,2100
