input,seed,cores,vertices,edges,time,trials,concurrency,result
/scratch/daint/kalvodap/regular_16k_16.in,0,128,16000,256000,1.75111,3,low,3200
/scratch/daint/kalvodap/regular_16k_16.in,0,1,16000,256000,106.528,322,low,3200
/scratch/daint/kalvodap/regular_16k_16.in,0,16,16000,256000,11.1118,21,low,3200
/scratch/daint/kalvodap/regular_16k_16.in,0,192,16000,256000,1.1877,2,low,3200
/scratch/daint/kalvodap/regular_16k_16.in,0,24,16000,256000,7.44223,14,low,3200
/scratch/daint/kalvodap/regular_16k_16.in,0,256,16000,256000,1.1847,2,low,3200
/scratch/daint/kalvodap/regular_16k_16.in,0,320,16000,256000,1.18481,2,low,3200
/scratch/daint/kalvodap/regular_16k_16.in,0,32,16000,256000,5.94066,11,low,3200
/scratch/daint/kalvodap/regular_16k_16.in,0,384,16000,256000,0.68144,1,low,3200
/scratch/daint/kalvodap/regular_16k_16.in,0,448,16000,256000,0.744848,1,low,3200
/scratch/daint/kalvodap/regular_16k_16.in,0,4,16000,256000,28.0563,81,low,3200
/scratch/daint/kalvodap/regular_16k_16.in,0,48,16000,256000,4.2011,7,low,3200
/scratch/daint/kalvodap/regular_16k_16.in,0,512,16000,256000,0.69971,1,low,3200
/scratch/daint/kalvodap/regular_16k_16.in,0,576,16000,256000,0.694313,1,low,3200
/scratch/daint/kalvodap/regular_16k_16.in,0,64,16000,256000,3.31648,6,low,3200
/scratch/daint/kalvodap/regular_16k_16.in,0,8,16000,256000,15.066,41,low,3200
/scratch/daint/kalvodap/regular_16k_16.in,0,96,16000,256000,2.25353,4,low,3200
