input,seed,cores,vertices,edges,time,trials,concurrency,result
/scratch/daint/kalvodap/regular_16k_64.in,0,128,16000,1024000,6.61617,1,low,12800
/scratch/daint/kalvodap/regular_16k_64.in,0,1,16000,1024000,354.454,92,low,12800
/scratch/daint/kalvodap/regular_16k_64.in,0,16,16000,1024000,37.4631,6,low,12800
/scratch/daint/kalvodap/regular_16k_64.in,0,192,16000,1024000,11.9131,1,high,12800
/scratch/daint/kalvodap/regular_16k_64.in,0,24,16000,1024000,24.6549,4,low,12800
/scratch/daint/kalvodap/regular_16k_64.in,0,256,16000,1024000,11.9863,1,high,12800
/scratch/daint/kalvodap/regular_16k_64.in,0,320,16000,1024000,12.1862,1,high,12800
/scratch/daint/kalvodap/regular_16k_64.in,0,32,16000,1024000,18.9793,3,low,12800
/scratch/daint/kalvodap/regular_16k_64.in,0,384,16000,1024000,8.00405,1,high,12800
/scratch/daint/kalvodap/regular_16k_64.in,0,448,16000,1024000,7.94406,1,high,12800
/scratch/daint/kalvodap/regular_16k_64.in,0,4,16000,1024000,93.7146,23,low,12800
/scratch/daint/kalvodap/regular_16k_64.in,0,48,16000,1024000,13.5437,2,low,12800
/scratch/daint/kalvodap/regular_16k_64.in,0,512,16000,1024000,8.04707,1,high,12800
/scratch/daint/kalvodap/regular_16k_64.in,0,576,16000,1024000,7.98674,1,high,12800
/scratch/daint/kalvodap/regular_16k_64.in,0,64,16000,1024000,13.5339,2,low,12800
/scratch/daint/kalvodap/regular_16k_64.in,0,8,16000,1024000,52.7662,12,low,12800
/scratch/daint/kalvodap/regular_16k_64.in,0,96,16000,1024000,6.58733,1,low,12800
