input,seed,cores,vertices,edges,time,trials,concurrency,result
/scratch/daint/kalvodap/density_variation/regular_8k_128.in,0,128,8000,1024000,8.93095,1,high,25600
/scratch/daint/kalvodap/density_variation/regular_8k_128.in,0,1,8000,1024000,313.816,23,low,25600
/scratch/daint/kalvodap/density_variation/regular_8k_128.in,0,16,8000,1024000,44.1144,2,low,25600
/scratch/daint/kalvodap/density_variation/regular_8k_128.in,0,192,8000,1024000,6.64325,1,high,25600
/scratch/daint/kalvodap/density_variation/regular_8k_128.in,0,24,8000,1024000,21.9799,1,low,25600
/scratch/daint/kalvodap/density_variation/regular_8k_128.in,0,256,8000,1024000,5.58174,1,high,25600
/scratch/daint/kalvodap/density_variation/regular_8k_128.in,0,320,8000,1024000,5.5065,1,high,25600
/scratch/daint/kalvodap/density_variation/regular_8k_128.in,0,32,8000,1024000,22.6663,1,low,25600
/scratch/daint/kalvodap/density_variation/regular_8k_128.in,0,384,8000,1024000,3.50093,1,high,25600
/scratch/daint/kalvodap/density_variation/regular_8k_128.in,0,448,8000,1024000,3.54262,1,high,25600
/scratch/daint/kalvodap/density_variation/regular_8k_128.in,0,4,8000,1024000,86.1489,6,low,25600
/scratch/daint/kalvodap/density_variation/regular_8k_128.in,0,48,8000,1024000,14.2109,1,high,25600
/scratch/daint/kalvodap/density_variation/regular_8k_128.in,0,512,8000,1024000,3.40619,1,high,25600
/scratch/daint/kalvodap/density_variation/regular_8k_128.in,0,576,8000,1024000,3.38828,1,high,25600
/scratch/daint/kalvodap/density_variation/regular_8k_128.in,0,64,8000,1024000,14.3968,1,high,25600
/scratch/daint/kalvodap/density_variation/regular_8k_128.in,0,8,8000,1024000,46.9586,3,low,25600
/scratch/daint/kalvodap/density_variation/regular_8k_128.in,0,96,8000,1024000,9.12769,1,high,25600
